movie,link,money
Ex Machina,/title/tt0470752/?ref_=bo_se_r_1,"
$37,394,629
"
The Avengers,/title/tt0848228/?ref_=bo_se_r_1,"
$1,520,538,536
"
Her,/title/tt1798709/?ref_=bo_se_r_1,"
$48,517,427
"
Kill Bill: Vol. 2,/title/tt0378194/?ref_=bo_se_r_1,"
$154,117,157
"
Manchester by the Sea,/title/tt4034228/?ref_=bo_se_r_1,"
$78,988,148
"
The Host,/title/tt1517260/?ref_=bo_se_r_1,"
$63,365,859
"
District 9,/title/tt1136608/?ref_=bo_se_r_1,"
$210,888,950
"
Love & Friendship,/title/tt3068194/?ref_=bo_se_r_1,"
$21,401,949
"
3-Iron,/title/tt0423866/?ref_=bo_se_r_1,"
$3,403,957
"
Evolution of a Filipino Family,/title/tt1096999/?ref_=bo_se_r_1,"
$3,568
"
Pulse,/title/tt0286751/?ref_=bo_se_r_1,"
$318,451
"
Cave of Forgotten Dreams,/title/tt1664894/?ref_=bo_se_r_1,"
$8,183,347
"
Heaven's Story,/title/tt26929966/?ref_=bo_se_r_1,"
$1,530,014
"
"Norte, the End of History",/title/tt2852432/?ref_=bo_se_r_1,"
$10,457
"
"Crouching Tiger, Hidden Dragon",/title/tt0190332/?ref_=bo_se_r_1,"
$213,977,285
"
The Pianist,/title/tt0253474/?ref_=bo_se_r_1,"
$120,072,577
"
Lincoln,/title/tt0443272/?ref_=bo_se_r_1,"
$275,293,450
"
Life of Pi,/title/tt0454876/?ref_=bo_se_r_1,"
$609,016,565
"
Mystic River,/title/tt0327056/?ref_=bo_se_r_1,"
$156,595,191
"
American Hustle,/title/tt1800241/?ref_=bo_se_r_1,"
$251,171,807
"
After the Wedding,/title/tt7985692/?ref_=bo_se_r_1,"
$2,790,019
"
Memento,/title/tt0209144/?ref_=bo_se_r_1,"
$40,047,078
"
Gravity,/title/tt1454468/?ref_=bo_se_r_1,"
$773,031,583
"
The Five Obstructions,/title/tt0354575/?ref_=bo_se_r_1,"
$279,032
"
Ida,/title/tt1869716/?ref_=bo_se_r_1,"
$2,891,812
"
Nobody Knows,/title/tt0408664/?ref_=bo_se_r_1,"
$2,288,093
"
Wild Tales,/title/tt3011894/?ref_=bo_se_r_1,"
$31,478,893
"
Eldorado,/title/tt0138749/?ref_=bo_se_r_1,"
$76,432,727
"
The Stuart Hall Project,/title/tt2578290/?ref_=bo_se_r_1,"
$38,959
"
A Letter to Nelson Mandela,/title/tt1853614/?ref_=bo_se_r_1,"
$6,748,888
"
Waiting for Happiness,/title/tt0308363/?ref_=bo_se_r_1,"
$53,048
"
5 Broken Cameras,/title/tt2125423/?ref_=bo_se_r_1,"
$146,475
"
Hooligan Sparrow,/title/tt4079902/?ref_=bo_se_r_1,"
$9,263
"
7 Letters,/title/tt4691166/?ref_=bo_se_r_1,"
$232,027
"
Weekend,/title/tt1714210/?ref_=bo_se_r_1,"
$1,192,003
"
How to Survive a Plague,/title/tt2124803/?ref_=bo_se_r_1,"
$132,055
"
American Splendor,/title/tt0305206/?ref_=bo_se_r_1,"
$7,986,084
"
Love & Basketball,/title/tt0199725/?ref_=bo_se_r_1,"
$27,743,596
"
It's Such a Beautiful Day,/title/tt5742374/?ref_=bo_se_r_1,"
$9,360,514
"
Actress,/title/tt3212392/?ref_=bo_se_r_1,"
$19,365
"
Carol,/title/tt2402927/?ref_=bo_se_r_1,"
$40,272,135
"
The Wind Rises,/title/tt2013293/?ref_=bo_se_r_1,"
$136,864,780
"
Collateral,/title/tt0369339/?ref_=bo_se_r_1,"
$220,239,925
"
Brooklyn,/title/tt2381111/?ref_=bo_se_r_1,"
$62,402,155
"
Nightcrawler,/title/tt2872718/?ref_=bo_se_r_1,"
$47,425,835
"
Take Shelter,/title/tt1675192/?ref_=bo_se_r_1,"
$3,741,098
"
Fantastic Mr Fox,/title/tt0432283/?ref_=bo_se_r_1,"
$58,087,259
"
